time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,throttle_rc
1137551809796091,track,335192,True,,,-0.625,-0.43333333333333335,0.4643313360930237,,-1.0015054780084496,0.0,4.96,12.307692307692308,0.0,0.0,0.0,1660
1137551829081663,track,335192,True,,,-0.625,-0.43333333333333335,0.4643313360930237,,-1.0015054780084496,0.0,4.96,12.307692307692308,0.0,0.0,0.0,1660
1137551849054201,track,335193,True,,,-0.625,-0.43333333333333335,0.4643313360930237,-0.0,-1.0015054780084496,0.0,4.96,12.307692307692308,0.0,0.0,0.0,1660
1137551869043079,track,335193,True,,,-0.625,-0.43333333333333335,0.4643313360930237,-0.0,-1.0015054780084496,0.0,4.96,12.307692307692308,0.0,0.0,0.0,1660
1137551889015911,track,335194,True,,,-0.625,-0.43333333333333335,0.4643313360930237,-0.0,-1.0015054780084496,0.0,4.96,12.307692307692308,0.0,0.0,0.0,1660
1137551909024347,track,335195,True,,,-0.625,-0.43125,0.4669433803292812,-0.0,-0.996732238704457,-0.08,4.93,12.307692307692308,0.0,0.0,0.0,1651
1137551929052660,track,335195,True,,,-0.625,-0.43125,0.4669433803292812,-0.0,-0.996732238704457,-0.08,4.93,12.307692307692308,0.0,0.0,0.0,1651
1137551949094593,track,335196,True,,,-0.625,-0.43125,0.4669433803292812,-0.0,-0.996732238704457,-0.08,4.93,12.307692307692308,0.0,0.0,0.0,1651
1137551968999907,track,335196,True,,,-0.625,-0.43125,0.4669433803292812,-0.0,-0.996732238704457,-0.08,4.93,12.307692307692308,0.0,0.0,0.0,1651
1137551988993360,track,335197,True,,,-0.621875,-0.43333333333333335,0.4695236297921678,-0.0,-1.0015054780084496,-0.08,4.93,12.307692307692308,0.0,0.0,0.0,1651
1137552009057951,track,335198,True,,,-0.61875,-0.43333333333333335,0.4747074022152387,-0.0,-1.0015054780084496,-0.13,4.92,12.307692307692308,0.0,0.0,0.0,1651
1137552028986408,track,335198,True,,,-0.61875,-0.43333333333333335,0.4747074022152387,-0.0,-1.0015054780084496,-0.13,4.92,12.307692307692308,0.2,0.1,359.0,1651
1137552048999645,track,335199,True,,,-0.6125,-0.43125,0.4877033692970986,-0.0,-0.996732238704457,-0.13,4.92,11.851851851851851,0.2,0.1,359.0,1651
1137552069022963,track,335199,True,,,-0.6125,-0.43125,0.4877033692970986,-0.0,-0.996732238704457,-0.13,4.92,11.851851851851851,0.2,0.1,359.0,1651
1137552089004697,track,335200,True,,,-0.60625,-0.43125,0.4980312337006081,-0.0,-0.996732238704457,-0.13,4.92,11.851851851851851,0.2,0.1,359.0,1651
