local_time,elapsed_s,sample_source,phase,state,armed,altitude_setpoint_m,altitude_m,vertical_speed_m_s,roll_deg,pitch_deg,yaw_deg,joystick_roll_pwm,joystick_pitch_pwm,joystick_throttle_pwm,joystick_yaw_pwm,output_roll_pwm,output_pitch_pwm,output_throttle_pwm,output_yaw_pwm,altitude_error_m,pitch_target_deg,pitch_error_deg
2026-08-06T16:58:10.436+03:00,0.021240,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,,,,,,-10.0,
2026-08-06T16:58:10.482+03:00,0.067723,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.483+03:00,0.068033,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.534+03:00,0.119574,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.586+03:00,0.171061,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.586+03:00,0.171355,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.632+03:00,0.217611,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.683+03:00,0.268791,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.684+03:00,0.269031,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.735+03:00,0.320212,V2_EXTENSION,Waiting for bt-app telemetry,,0,,,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.756+03:00,0.340883,GLOBAL_POSITION_INT,Waiting for bt-app telemetry,,0,,0.0,,,,,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,
2026-08-06T16:58:10.756+03:00,0.341002,ATTITUDE,Waiting for bt-app telemetry,,0,,0.0,,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:10.756+03:00,0.341138,RC_CHANNELS,Waiting for bt-app telemetry,,0,,0.0,,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
