time_monotonic_ns,state,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
528316908303670,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528316928468729,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528316948613812,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528316968750745,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528316988893719,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317009029689,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317029166556,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317049303022,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317069421141,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317089548790,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317109679816,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317129799429,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317149939457,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317170050875,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317190169504,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317210279938,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317230406768,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317250542988,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317270692116,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317290838974,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317310974906,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317331042822,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317351168585,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317371282857,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317391440140,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317411604479,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317431738756,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317451880455,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317471977802,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317492109210,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317512232100,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317532368742,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317552495758,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317572655238,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317592771610,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317612878902,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317633011457,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317653124652,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317673238379,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317693366236,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317713507281,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317733643417,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317753774411,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317773898884,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317794071211,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317814195355,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317834309450,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317854488192,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317874598759,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317894725110,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317914878637,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317935035360,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317955171024,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317975291032,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528317995437004,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318015573765,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318035711028,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318055863054,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318076020948,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318096152321,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318116343048,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318136519363,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318156709910,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318176871086,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318197019050,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318217136219,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318237297620,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318257458799,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318277610175,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318297742610,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318317868770,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318338025836,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318358145339,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318378255409,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318398381217,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318418678557,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318438848677,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318458999482,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318479131401,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318499251372,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318519379527,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318539496719,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318559638711,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318579776559,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318599927386,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318620086286,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318640231123,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318660379221,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318680515478,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318700646550,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318720775842,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318740921006,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318761060714,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318781164603,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318801294510,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318821433270,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318841568113,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318861696929,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318881822002,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318901944675,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318922054952,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318942169887,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
528318962254167,IDLE,1000,1000,1000,1000,1000,1000,1000,1000
