local_time,elapsed_s,sample_source,phase,state,state_id,armed,altitude_setpoint_m,altitude_m,vertical_speed_m_s,roll_deg,pitch_deg,yaw_deg,joystick_throttle_pwm,output_throttle_pwm,output_correction_pwm,output_saturated,output_roll_pwm,output_pitch_pwm,output_yaw_pwm,TAKEOFF_ALT,TAKEOFF_RATE,ALT_KP,ALT_KI,ALT_KD,ALT_OUT_LIMIT,HOV_BASELINE
2026-08-06T15:56:01.112+03:00,0.093770,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.211+03:00,0.192358,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.309+03:00,0.290221,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.376+03:00,0.357310,GLOBAL_POSITION_INT,Waiting for bt-app telemetry,,,0,,0.0,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.376+03:00,0.357554,RC_CHANNELS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.412+03:00,0.393526,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.510+03:00,0.491400,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.613+03:00,0.594760,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.711+03:00,0.692766,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.809+03:00,0.790807,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.871+03:00,0.853021,GLOBAL_POSITION_INT,Waiting for bt-app telemetry,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.872+03:00,0.853242,RC_CHANNELS,Waiting for bt-app telemetry,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:56:01.913+03:00,0.894992,V2_CHANNEL_STATUS,Reading active takeoff parameters,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,20.0,0.0,40.0,,
2026-08-06T15:56:02.012+03:00,0.993188,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.110+03:00,1.091375,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.213+03:00,1.194662,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.311+03:00,1.292723,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.373+03:00,1.354907,GLOBAL_POSITION_INT,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.374+03:00,1.355162,RC_CHANNELS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.410+03:00,1.391137,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.513+03:00,1.494311,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.611+03:00,1.592341,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.714+03:00,1.695436,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.812+03:00,1.793766,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.876+03:00,1.857115,GLOBAL_POSITION_INT,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.876+03:00,1.857399,RC_CHANNELS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:02.912+03:00,1.893681,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.016+03:00,1.997253,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.114+03:00,2.095477,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.212+03:00,2.193354,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.315+03:00,2.296644,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.372+03:00,2.353634,GLOBAL_POSITION_INT,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.372+03:00,2.353861,RC_CHANNELS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.413+03:00,2.394956,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.517+03:00,2.498156,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.615+03:00,2.596920,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.713+03:00,2.695017,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.817+03:00,2.798302,V2_CHANNEL_STATUS,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
2026-08-06T15:56:03.874+03:00,2.855823,GLOBAL_POSITION_INT,Arming in MANUAL mode,6,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1000,1000,-660,1,1500,1500,1500,2.0,0.5,20.0,0.0,40.0,150.0,1660
