local_time,elapsed_s,sample_source,phase,state,state_id,armed,altitude_setpoint_m,altitude_m,vertical_speed_m_s,roll_deg,pitch_deg,yaw_deg,joystick_throttle_pwm,output_throttle_pwm,output_correction_pwm,output_saturated,output_roll_pwm,output_pitch_pwm,output_yaw_pwm,TAKEOFF_ALT,TAKEOFF_RATE,ALT_KP,ALT_KI,ALT_KD,ALT_OUT_LIMIT,HOV_BASELINE
2026-08-06T15:49:34.339+03:00,0.026508,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:34.437+03:00,0.124521,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:34.535+03:00,0.222511,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:34.637+03:00,0.325354,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:34.735+03:00,0.423149,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:34.797+03:00,0.485213,GLOBAL_POSITION_INT,Waiting for bt-app telemetry,,,0,,0.0,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:34.798+03:00,0.485532,RC_CHANNELS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:34.839+03:00,0.526918,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:34.938+03:00,0.625664,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-06T15:49:35.036+03:00,0.723588,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,0.0,,0.0,0.0,356.9999996891463,1000,1000,,0,1500,1500,1500,,,,,,,
