sample_index,time_monotonic_ns,elapsed_s,end_reason,phase,tracker_id,frame_id,camera_timestamp_ns,camera_received_at_s,camera_age_s,new_camera_frame,locked,score,bbox_x,bbox_y,bbox_width,bbox_height,dx_norm,dy_norm,bbox_fill,scale_px,log_scale,scale_innovation,scale_reason,filtered_log_scale_rate_hz,inverse_ttc_measured_hz,measured_ttc_s,effective_ttc_s,ttc_prediction_age_s,roll_deg,pitch_deg,heading_deg,attitude_age_s,altitude_m,vertical_distance_m,target_ttc_s,inverse_ttc_target_hz,pitch_initial_deg,pitch_raw_deg,pitch_command_deg,roll_target_deg,roll_command_deg,horizontal_alignment_scale,vertical_nominal_m_s,vertical_alignment_m_s,vertical_target_m_s,vertical_setpoint_m_s,vario_m_s,vario_age_s,vertical_error_m_s,throttle_p_rc,throttle_i_rc,raw_vertical_accel_m_s2,filtered_vertical_accel_m_s2,throttle_d_rc,tilt_hover_rc,throttle_command_rc,yaw_rate_target_dps,yaw_rate_dps,alignment_count,commit_count,commit_block_reason,exit_requested,exit_reason,result_valid,result_reason,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4
0,425631907430894,0.0,target_lost_or_stale,align,0,706578,175062172275975,425631.899244137,0.008186756982468069,True,True,0.0,315,365,14,17,0.00625,-0.55625,0.035416666666666666,15.427248620541512,2.734479714236103,0.002547111691745041,,-0.04403633838066984,0.0,30.0,29.991813243017532,0.008186756982468069,0.0,0.0,0.0,0.01806594495428726,9.91,-9.71,9.71,0.10298661174047373,-10.0,-5.0,-5.0,0.0,0.0,1.0,0.0,-0.5,-0.5,0.0,0.0,0.09956585697364062,0.0,0.0,0.0,0.0,0.0,-0.0,1663.0,1663,-0.0,0.0,1,0,bbox fill,False,,True,,1500,1542,1663,1500,2000,2000,1000,1000
1,425631927456876,0.020025981997605413,target_lost_or_stale,align,0,706578,175062172275975,425631.899244137,0.028212738980073482,False,True,0.0,315,365,14,17,0.00625,-0.55625,0.035416666666666666,,2.734479714236103,,duplicate frame,-0.04403633838066984,0.0,30.0,29.971787261019927,0.028212738980073482,0.0,0.0,0.0,0.038091926951892674,9.91,-9.71,9.71,0.10298661174047373,-10.0,-5.0,-5.0,0.0,0.0,1.0,0.0,-0.5,-0.5,-0.020025981997605413,0.0,0.009296567994169891,-0.020025981997605413,-0.40051963995210826,-0.0012031198649052482,0.0,0.0,-0.0,1662.401722759817,1662,-0.0,0.0,1,0,bbox fill,False,,True,,1500,1542,1662,1500,2000,2000,1000,1000
2,425631947429839,0.039998945023398846,target_lost_or_stale,align,0,706579,175062205440394,425631.93267901,0.014750829024706036,True,True,0.0,315,365,14,17,0.00625,-0.55625,0.035416666666666666,15.427248620541512,2.7341021550487716,0.0031279719799477412,,-0.03655200432811287,0.0,30.0,29.985249170975294,0.014750829024706036,0.0,0.0,0.0,0.05806488997768611,9.91,-9.71,9.71,0.10298661174047373,-10.0,-5.0,-5.0,0.0,0.0,1.0,0.0,-0.5,-0.5,-0.039998945023398846,0.0,0.029269531019963324,-0.039998945023398846,-0.7999789004679769,-0.0035998122149745165,0.0,0.0,-0.0,1662.803578712683,1662,-0.0,0.0,2,0,bbox fill,False,,True,,1500,1542,1662,1500,2000,2000,1000,1000
3,425631967430924,0.060000030032824725,target_lost_or_stale,align,0,706580,175062238045284,425631.966158113,0.0012728110305033624,True,True,0.0,315,365,14,17,0.00625,-0.55625,0.035416666666666666,15.427248620541512,2.734018345267581,0.003256910104855848,,-0.028769453870885014,0.0,30.0,29.998727188969497,0.0012728110305033624,0.0,0.0,0.0,0.01787119300570339,9.91,-9.71,9.71,0.10298661174047373,-10.0,-5.0,-5.0,0.0,0.0,1.0,0.0,-0.5,-0.5,-0.060000030032824725,0.0,0.0492706160293892,-0.060000030032824725,-1.2000006006564945,-0.007200009318738416,0.0,0.0,-0.0,1662.2072006099752,1661,-0.0,0.0,3,0,bbox fill,False,,True,,1500,1542,1661,1500,2000,2000,1000,1000
4,425631987427009,0.07999611500417814,target_lost_or_stale,align,0,706580,175062238045284,425631.966158113,0.021268896001856774,False,True,0.0,315,365,14,17,0.00625,-0.55625,0.035416666666666666,,2.734018345267581,,duplicate frame,-0.028769453870885014,0.0,30.0,29.978731103998143,0.021268896001856774,0.0,0.0,0.0,0.0378672779770568,9.91,-9.71,9.71,0.10298661174047373,-10.0,-5.0,-5.0,0.0,0.0,1.0,0.0,-0.5,-0.5,-0.07999611500417814,0.0,0.06926670100074261,-0.07999611500417814,-1.5999223000835627,-0.011998836657743532,0.0,0.0,-0.0,1662.6119211367413,1661,-0.0,0.0,3,0,bbox fill,False,,True,,1500,1542,1661,1500,2000,2000,1000,1000
5,425632007449134,0.1000182400457561,target_lost_or_stale,align,0,706581,175062271943309,425631.99960836,0.007840774022042751,True,True,0.0,315,365,14,17,0.00625,-0.55625,0.035416666666666666,15.427248620541512,2.7341337678463122,0.003079336906808283,,-0.021404875893714332,0.0,30.0,29.992159225977957,0.007840774022042751,0.0,0.0,0.0,0.057889403018634766,9.91,-9.71,9.71,0.10298661174047373,-10.0,-5.0,-5.0,0.0,0.0,1.0,0.0,-0.5,-0.5,-0.1000182400457561,0.0,0.08928882604232058,-0.1000182400457561,-2.000364800915122,-0.018006569783647598,0.0,0.0,-0.0,1663.0183713706988,1661,-0.0,0.0,4,0,bbox fill,False,,True,,1500,1542,1661,1500,2000,2000,1000,1000
6,425632027436217,0.12000532302772626,target_lost_or_stale,align,0,706581,175062271943309,425631.99960836,0.027827857004012913,False,True,0.0,315,365,14,17,0.00625,-0.55625,0.035416666666666666,,2.7341337678463122,,duplicate frame,-0.021404875893714332,0.0,30.0,29.972172142995987,0.027827857004012913,0.0,0.0,0.0,0.01757782301865518,9.91,-9.71,9.71,0.10298661174047373,-10.0,-5.0,-5.0,0.0,0.0,1.0,0.0,-0.5,-0.5,-0.12000532302772626,0.0,0.10927590902429074,-0.12000532302772626,-2.4001064605545253,-0.025202238832547498,0.0,0.0,-0.0,1662.425308699387,1660,-0.0,0.0,4,0,bbox fill,False,,True,,1500,1542,1660,1500,2000,2000,1000,1000
7,425632047445423,0.14001452905358747,target_lost_or_stale,tracking,0,706582,175062304518180,425632.03307943,0.014365993032697588,True,True,0.0,315,364,14,18,0.00625,-0.5541666666666667,0.0375,15.874507866387544,2.7443713507500447,0.03129722000871871,,0.0,0.0,30.0,29.985634006967302,0.014365993032697588,0.0,0.0,0.0,0.037587029044516385,9.92,-9.72,9.72,0.10288065843621398,-10.0,-7.53916062544932,-5.100046030129306,0.0,0.0,1.0,-0.3241552270577808,-0.5,-0.8241552270577808,-0.14001452905358747,0.0,0.017358880024403334,-0.14001452905358747,-2.8002905810717493,-0.03360697750788898,0.0,0.0,-0.0,1662.8338975585796,1660,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1543,1660,1500,2000,2000,1000,1000
8,425632067430802,0.15999990800628439,target_lost_or_stale,tracking,0,706583,175062336979454,425632.066488394,0.0009424079908058047,True,True,0.0,315,363,14,17,0.00625,-0.5479166666666667,0.035416666666666666,15.427248620541512,2.741488745880037,-0.008236013914307172,,-0.0197216864686763,0.0,30.0,29.999057592009194,0.0009424079908058047,0.0,0.0,0.0,0.057572407997213304,9.92,-9.72,9.72,0.10288065843621398,-10.0,-7.5748237982322735,-5.199972924892791,0.0,0.0,1.0,-0.32401017832603857,-0.5,-0.8240101783260385,-0.15999990800628439,0.0,0.03734425897710025,-0.15999990800628439,-3.1999981601256877,-0.043199953889595695,0.0,0.0,-0.0,1662.2431981140153,1659,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1543,1659,1500,2000,2000,1000,1000
9,425632087425556,0.17999466200126335,target_lost_or_stale,tracking,0,706583,175062336979454,425632.066488394,0.02093716198578477,False,True,0.0,315,363,14,17,0.00625,-0.5479166666666667,0.035416666666666666,,2.741488745880037,,duplicate frame,-0.0197216864686763,0.0,30.0,29.979062838014215,0.02093716198578477,0.0,0.2,0.0,0.017344673979096115,9.92,-9.72,9.72,0.10288065843621398,-10.0,-7.574723288319184,-5.299946694867685,0.0,0.0,1.0,-0.32422627927097153,-0.5,-0.8242262792709716,-0.17999466200126335,0.0,0.05733901297207922,-0.17999466200126335,-3.599893240025267,-0.05399680085096964,0.0,0.0,-0.0,1662.6538900408761,1659,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1544,1659,1500,2000,2000,1000,1000
10,425632107449600,0.2000187060330063,target_lost_or_stale,tracking,0,706584,175062371219137,425632.099943641,0.0075059590162709355,True,True,0.0,315,361,14,17,0.00625,-0.5395833333333333,0.035416666666666666,15.427248620541512,2.739186186684673,-0.0046936151522087854,,-0.030945313428076632,0.0,30.0,29.99249404098373,0.0075059590162709355,0.0,0.2,0.0,0.037368718010839075,9.92,-9.72,9.72,0.10288065843621398,-10.0,-7.6222524011778425,-5.4000669150264,0.0,0.0,1.0,-0.3240810846446431,-0.5,-0.8240810846446431,-0.2000187060330063,0.0,0.07736305700382218,-0.2000187060330063,-4.000374120660126,-0.06601235098130115,0.0,0.0,-0.0,1663.0663864716414,1659,-0.0,0.0,5,0,bbox fill,False,,True,,1500,1545,1659,1500,2000,2000,1000,1000
