sample_index,time_monotonic_ns,elapsed_s,end_reason,observed_frame_id,observed_timestamp_ns,observed_valid,observed_reason,observed_depth_m,observed_slant_range_m,observed_dx_norm,observed_dy_norm,observed_vx_m_s,observed_vy_m_s,control_frame_id,control_estimate_age_s,control_depth_m,control_slant_range_m,control_dx_norm,control_dy_norm,control_dx_deadbanded,control_dy_deadbanded,control_vx_m_s,control_vy_m_s,phase,result_valid,result_reason,exit_requested,completion_latched,pitch_command_deg,yaw_rate_dps,throttle_correction_rc,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4,trk_pitch_deg,trk_pitch_rate_deg_s,trk_yaw_kp,trk_yaw_max_dps,trk_throttle_kp,trk_throttle_max_rc,trk_deadband,trk_timeout_s,trk_lock_frames,trk_commit_depth_m,trk_commit_s,bf_angle_limit_deg,hover_baseline_rc,bf_yaw_rate_dps
0,326435695407262,0.0,target_lost_or_stale,105745,5623489393463,True,,15.087719298245613,17.3576823724465,0.0078125,-0.7583333333333333,4.34622171119176,-2.471913598240313,105745,0.02497803303413093,15.087719298245613,17.3576823724465,0.0078125,-0.7583333333333333,0.0,-0.7283333333333333,4.34622171119176,-2.471913598240313,tracking,True,,False,False,0.0,0.0,-72.83333333333333,1500,1500,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
1,326435715428463,0.020021200994960964,target_lost_or_stale,105746,5623522356433,True,,15.087719298245613,17.346039889913133,0.0078125,-0.75625,4.349138984909696,-2.4667772680034683,105746,0.011526001035235822,15.087719298245613,17.346039889913133,0.0078125,-0.75625,0.0,-0.72625,4.349138984909696,-2.4667772680034683,tracking,True,,False,False,-0.10010600497480482,0.0,-72.625,1500,1501,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
2,326435735511940,0.04010467795887962,target_lost_or_stale,105746,5623522356433,True,,15.087719298245613,17.346039889913133,0.0078125,-0.75625,4.349138984909696,-2.4667772680034683,105746,0.03160947799915448,15.087719298245613,17.346039889913133,0.0078125,-0.75625,0.0,-0.72625,4.349138984909696,-2.4667772680034683,tracking,True,,False,False,-0.2005233897943981,0.0,-72.625,1500,1502,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
3,326435755387845,0.05998058296972886,target_lost_or_stale,105747,5623555519310,True,,15.087719298245613,17.346039889913133,0.0078125,-0.75625,4.349138984909696,-2.4667772680034683,105747,0.018038598005659878,15.087719298245613,17.346039889913133,0.0078125,-0.75625,0.0,-0.72625,4.349138984909696,-2.4667772680034683,tracking,True,,False,False,-0.2999029148486443,0.0,-72.625,1500,1502,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
4,326435775405321,0.07999805896542966,target_lost_or_stale,105748,5623588795111,True,,14.821052631578947,17.039458719765832,0.0078125,-0.75625,4.349138984909697,-2.4667772680034683,105748,0.004604020970873535,14.821052631578947,17.039458719765832,0.0078125,-0.75625,0.0,-0.72625,4.349138984909697,-2.4667772680034683,tracking,True,,False,False,-0.3999902948271483,0.0,-72.625,1500,1503,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
5,326435795384351,0.09997708897572011,target_lost_or_stale,105748,5623588795111,True,,14.821052631578947,17.039458719765832,0.0078125,-0.75625,4.349138984909697,-2.4667772680034683,105748,0.02458305098116398,14.821052631578947,17.039458719765832,0.0078125,-0.75625,0.0,-0.72625,4.349138984909697,-2.4667772680034683,tracking,True,,False,False,-0.49988544487860054,0.0,-72.625,1500,1504,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
6,326435815396941,0.11998967896215618,target_lost_or_stale,105749,5623621492687,True,,14.821052631578947,17.039458719765832,0.0078125,-0.75625,4.349138984909697,-2.4667772680034683,105749,0.011120976996608078,14.821052631578947,17.039458719765832,0.0078125,-0.75625,0.0,-0.72625,4.349138984909697,-2.4667772680034683,tracking,True,,False,False,-0.5999483948107809,0.0,-72.625,1500,1505,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
7,326435835402095,0.1399948329781182,target_lost_or_stale,105749,5623621492687,True,,14.821052631578947,17.039458719765832,0.0078125,-0.75625,4.349138984909697,-2.4667772680034683,105749,0.031126131012570113,14.821052631578947,17.039458719765832,0.0078125,-0.75625,0.0,-0.72625,4.349138984909697,-2.4667772680034683,tracking,True,,False,False,-0.699974164890591,0.0,-72.625,1500,1506,1587,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
8,326435855390132,0.15998286998365074,target_lost_or_stale,105750,5623654785442,True,,14.821052631578947,17.028045824413848,0.0078125,-0.7541666666666667,4.352054091146035,-2.4616305953044755,105750,0.01769968098960817,14.821052631578947,17.028045824413848,0.0078125,-0.7541666666666667,0.0,-0.7241666666666666,4.352054091146035,-2.4616305953044755,tracking,True,,False,False,-0.7999143499182537,0.0,-72.41666666666666,1500,1507,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
9,326435875392036,0.17998477397486567,target_lost_or_stale,105752,5623720624491,True,,14.821052631578947,17.016656790046902,0.0078125,-0.7520833333333333,4.3549670010377195,-2.4564735740228385,105752,0.004249332996550947,14.821052631578947,17.016656790046902,0.0078125,-0.7520833333333333,0.0,-0.7220833333333333,4.3549670010377195,-2.4564735740228385,tracking,True,,False,False,-0.8999238698743284,0.0,-72.20833333333333,1500,1507,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
