sample_index,time_monotonic_ns,elapsed_s,end_reason,observed_frame_id,observed_timestamp_ns,observed_valid,observed_reason,observed_depth_m,observed_slant_range_m,observed_dx_norm,observed_dy_norm,observed_vx_m_s,observed_vy_m_s,control_frame_id,control_estimate_age_s,control_depth_m,control_slant_range_m,control_dx_norm,control_dy_norm,control_dx_deadbanded,control_dy_deadbanded,control_vx_m_s,control_vy_m_s,phase,result_valid,result_reason,exit_requested,completion_latched,pitch_command_deg,yaw_rate_dps,drone_vertical_speed_m_s,drone_vertical_speed_age_s,drone_vertical_speed_valid,throttle_visual_correction_rc,throttle_damping_correction_rc,throttle_correction_rc,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5_arm,ch6_angle,ch7_aux3,ch8_aux4,trk_pitch_deg,trk_pitch_rate_deg_s,trk_yaw_kp,trk_yaw_max_dps,trk_throttle_kp,trk_vertical_speed_kd,trk_throttle_max_rc,trk_deadband,trk_timeout_s,trk_lock_frames,trk_commit_depth_m,trk_commit_s,bf_angle_limit_deg,hover_baseline_rc,bf_yaw_rate_dps
0,332492366846450,0.0,commit_complete,227745,11680203512470,True,,15.087719298245613,17.311001253013327,0.0046875,-0.75,4.357877685622746,-2.451306198162795,227745,0.008805484045296907,15.087719298245613,17.311001253013327,0.0046875,-0.75,0.0,-0.72,4.357877685622746,-2.451306198162795,tracking,True,,False,False,0.0,0.0,,,False,-72.0,0.0,-72.0,1500,1500,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
1,332492386887056,0.02004060597391799,commit_complete,227745,11680203512470,True,,15.087719298245613,17.311001253013327,0.0046875,-0.75,4.357877685622746,-2.451306198162795,227745,0.0288460900192149,15.087719298245613,17.311001253013327,0.0046875,-0.75,0.0,-0.72,4.357877685622746,-2.451306198162795,tracking,True,,False,False,-0.10020302986958995,0.0,0.0,0.16008450399385765,True,-72.0,-0.0,-72.0,1500,1501,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
2,332492406846706,0.04000025597633794,commit_complete,227746,11680236736986,True,,15.087719298245613,17.299455857948523,0.0046875,-0.7479166666666667,4.360786115840424,-2.4461284618542374,227746,0.015332433977164328,15.087719298245613,17.299455857948523,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840424,-2.4461284618542374,tracking,True,,False,False,-0.2000012798816897,0.0,0.0,0.018792255024891347,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1502,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
3,332492426835306,0.05998885596636683,commit_complete,227747,11680269486902,True,,15.087719298245613,17.299455857948523,0.0046875,-0.7479166666666667,4.360786115840424,-2.4461284618542374,227747,0.001860536984167993,15.087719298245613,17.299455857948523,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840424,-2.4461284618542374,tracking,True,,False,False,-0.29994427983183414,0.0,0.0,0.038780855014920235,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1502,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
4,332492446839141,0.07999269099673256,commit_complete,227747,11680269486902,True,,15.087719298245613,17.299455857948523,0.0046875,-0.7479166666666667,4.360786115840424,-2.4461284618542374,227747,0.02186437201453373,15.087719298245613,17.299455857948523,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840424,-2.4461284618542374,tracking,True,,False,False,-0.3999634549836628,0.0,0.0,0.05878469004528597,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1503,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
5,332492466846205,0.09999975498067215,commit_complete,227748,11680302041606,True,,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,4.360786115840425,-2.4461284618542383,227748,0.008416692027822137,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-0.49999877490336075,0.0,0.0,0.07879175402922556,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1504,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
6,332492486896014,0.12004956399323419,commit_complete,227748,11680302041606,True,,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,4.360786115840425,-2.4461284618542383,227748,0.028466501040384173,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-0.6002478199661709,0.0,0.0,0.0988415630417876,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1505,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
7,332492506854125,0.14000767498509958,commit_complete,227749,11680334977515,True,,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,4.360786115840425,-2.4461284618542383,227749,0.01496816799044609,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-0.7000383749254979,0.0,0.0,0.11879967403365299,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1506,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
8,332492526839845,0.1599933949764818,commit_complete,227750,11680367889197,True,,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,4.360786115840425,-2.4461284618542383,227750,0.0015455560060217977,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-0.799966974882409,0.0,0.0,0.1387853940250352,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1507,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
9,332492546840983,0.1799945329548791,commit_complete,227750,11680367889197,True,,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,4.360786115840425,-2.4461284618542383,227750,0.021546693984419107,14.821052631578947,16.99369803348246,0.0046875,-0.7479166666666667,0.0,-0.7179166666666666,4.360786115840425,-2.4461284618542383,tracking,True,,False,False,-0.8999726647743955,0.0,0.0,0.1587865320034325,True,-71.79166666666667,-0.0,-71.79166666666667,1500,1507,1588,1500,2000,2000,1000,1000,-10.0,5.0,15.0,20.0,100.0,20.0,100.0,0.03,0.25,3,1.0,1.0,60.0,1660,67.0
