local_time,elapsed_s,sample_source,phase,state,state_id,armed,altitude_setpoint_m,altitude_m,vertical_speed_m_s,roll_deg,pitch_deg,yaw_deg,joystick_throttle_pwm,output_throttle_pwm,output_correction_pwm,output_saturated,output_roll_pwm,output_pitch_pwm,output_yaw_pwm,TAKEOFF_ALT,TAKEOFF_RATE,ALT_KP,ALT_KI,ALT_KD,ALT_OUT_LIMIT,HOV_BASELINE
2026-08-19T12:41:48.862+03:00,0.006541,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-19T12:41:48.961+03:00,0.105864,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-19T12:41:49.059+03:00,0.203836,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-19T12:41:49.162+03:00,0.306628,V2_CHANNEL_STATUS,Waiting for bt-app telemetry,,,0,,,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-19T12:41:49.239+03:00,0.383788,GLOBAL_POSITION_INT,Reading active takeoff parameters,IDLE,0,0,,0.0,,,,,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-19T12:41:49.239+03:00,0.384080,RC_CHANNELS,Reading active takeoff parameters,IDLE,0,0,,0.0,,0.0,0.0,12.999999792575526,1000,1000,,0,1500,1500,1500,,,,,,,
2026-08-19T12:41:49.260+03:00,0.404940,V2_CHANNEL_STATUS,Reading active takeoff parameters,IDLE,0,0,,0.0,,0.0,0.0,12.999999792575526,1000,1000,,0,1500,1500,1500,,,,0.0,35.0,,
2026-08-19T12:41:49.363+03:00,0.507963,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,,0.0,0.0,12.999999792575526,1000,1000,-660,1,1500,1500,1500,10.0,1.5,20.0,0.0,35.0,150.0,1660
2026-08-19T12:41:49.461+03:00,0.605646,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,,0.0,0.0,12.999999792575526,1000,1000,-660,1,1500,1500,1500,10.0,1.5,20.0,0.0,35.0,150.0,1660
2026-08-19T12:41:49.559+03:00,0.703537,V2_CHANNEL_STATUS,Arming in MANUAL mode,IDLE,0,0,,0.0,,0.0,0.0,12.999999792575526,1000,1000,-660,1,1500,1500,1500,10.0,1.5,20.0,0.0,35.0,150.0,1660
